Country,ActorName,ActorType,AffiliationTo,AffiliationStartDate,AffiliationEndDate,Aliases
Albania,Environmentalist Agrarian Party,Group,(National) Minor Party (Albania),BOT,EOT,Environmentalist Agrarian Party ; Agrarian Party Of Albania
Albania,Environmentalist Agrarian Party,Group,Centrist,BOT,EOT,Environmentalist Agrarian Party ; Agrarian Party Of Albania
Albania,Ergys Vangjeli,Individual,News (Albania),BOT,EOT,E Vangjeli ; E. Vangjeli ; Ergys Vangjeli
Albania,Ermelinda Meksi,Individual,Assembly of the Republic of Albania,1/1/1992,1/1/2001,Ermelinda Meksi ; E Meksi ; E. Meksi
Albania,Ermelinda Meksi,Individual,Cabinet (Albania),BOT,EOT,Ermelinda Meksi ; E Meksi ; E. Meksi
Albania,Ermelinda Meksi,Individual,Ministry of Economy Trade and Energy,1/1/1997,12/31/2002,Ermelinda Meksi ; E Meksi ; E. Meksi
Albania,Ermelinda Meksi,Individual,Ministry of European Integration,12/1/2003,7/1/2005,Ermelinda Meksi ; E Meksi ; E. Meksi
Albania,Ermelinda Meksi,Individual,Ministry of European Integration,12/2/2003,9/1/2005,Ermelinda Meksi ; E Meksi ; E. Meksi
Albania,Ermelinda Meksi,Individual,Socialist Party of Albania,6/1/1991,EOT,Ermelinda Meksi ; E Meksi ; E. Meksi
Albania,Esmeralda Uruci,Individual,Cabinet (Albania),10/29/1999,12/31/2001,Esmeralda Uruci ; E. Uruci ; E Uruci
Albania,Esmeralda Uruci,Individual,"Ministry of Tourism, Cultural Affairs, Youth, and Sports",10/29/1999,12/31/2001,Esmeralda Uruci ; E. Uruci ; E Uruci
Albania,Et'hem Ruka,Individual,Assembly of the Republic of Albania,1/1/1992,EOT,Et'Hem Ruka ; E. Ruka ; E Ruka
Albania,Et'hem Ruka,Individual,Cabinet (Albania),1/1/1997,EOT,Et'Hem Ruka ; E. Ruka ; E Ruka
Albania,Et'hem Ruka,Individual,Ministry of Education and Science,1/1/1997,1/1/2001,Et'Hem Ruka ; E. Ruka ; E Ruka
Albania,Et'hem Ruka,Individual,"Ministry of Environment, Forests, and Water Administration",1/2/2001,2/20/2002,Et'Hem Ruka ; E. Ruka ; E Ruka
